palavra,freq_spam,freq_ham,diff_freq,total_freq
relaxing,1,1,0,2
causing,6,6,0,12
manageable,2,2,0,4
unstable,1,1,0,2
powerhouse,1,1,0,2
breached,1,1,0,2
wenn,1,1,0,2
dilemma,1,1,0,2
equipped,2,2,0,4
collaborations,1,1,0,2
mailo,1,1,0,2
deeper,3,3,0,6
desirable,1,1,0,2
resident,2,2,0,4
laboratories,2,2,0,4
portable,1,1,0,2
sequoia,1,1,0,2
admits,1,1,0,2
spawned,1,1,0,2
blot,1,1,0,2
savvy,2,2,0,4
amex,1,1,0,2
female,2,2,0,4
broke,1,1,0,2
takers,1,1,0,2
cheaply,1,1,0,2
football,1,1,0,2
pandemonium,1,1,0,2
eine,1,1,0,2
eyeball,1,1,0,2
paving,1,1,0,2
hampton,1,1,0,2
bought,11,11,0,22
simplify,1,1,0,2
cookies,1,1,0,2
cosmetic,2,2,0,4
hitting,1,1,0,2
lounge,1,1,0,2
inserted,1,1,0,2
celebrity,1,1,0,2
stores,3,3,0,6
deleted,4,4,0,8
diamond,4,4,0,8
reps,1,1,0,2
speeding,2,2,0,4
lightning,1,1,0,2
acquaintance,2,2,0,4
brunch,1,1,0,2
ambition,1,1,0,2
unforeseen,1,1,0,2
payout,2,2,0,4
continually,2,2,0,4
recurring,2,2,0,4
overlook,2,2,0,4
trillion,1,1,0,2
cells,1,1,0,2
genetic,1,1,0,2
del,2,2,0,4
storms,1,1,0,2
dummy,1,1,0,2
raw,7,7,0,14
reasoner,1,1,0,2
blueprint,1,1,0,2
durham,1,1,0,2
patent,1,1,0,2
tattoo,1,1,0,2
sql,2,2,0,4
teamed,1,1,0,2
maynard,1,1,0,2
profitably,1,1,0,2
contended,2,2,0,4
captured,1,1,0,2
vail,1,1,0,2
zwischen,1,1,0,2
erp,1,1,0,2
rodeo,1,1,0,2
disposal,2,2,0,4
seamlessly,1,1,0,2
striving,1,1,0,2
yesterdays,1,1,0,2
spare,1,1,0,2
autonomy,1,1,0,2
voiced,1,1,0,2
degrees,1,1,0,2
purchaser,1,1,0,2
surfing,1,1,0,2
optimism,1,1,0,2
army,1,1,0,2
crafted,1,1,0,2
compatible,1,1,0,2
reproduce,1,1,0,2
conspiracy,1,1,0,2
todo,1,1,0,2
outsource,1,1,0,2
hawaii,3,3,0,6
packard,1,1,0,2
favorite,5,5,0,10
cents,6,6,0,12
embarked,1,1,0,2
duplicate,2,2,0,4
wasting,1,1,0,2
meadows,1,1,0,2
simple,23,23,0,46
fingers,2,2,0,4
evidently,1,1,0,2
conventional,3,3,0,6
deciding,9,9,0,18
gps,1,1,0,2
belonging,1,1,0,2
patents,2,2,0,4
sor,1,1,0,2
earned,4,4,0,8
iowa,4,4,0,8
rebalancing,1,1,0,2
stakes,1,1,0,2
sustainable,1,1,0,2
cow,1,1,0,2
stats,1,1,0,2
printable,1,1,0,2
acknowledge,2,2,0,4
tait,1,1,0,2
spain,3,3,0,6
respectfully,2,2,0,4
beste,1,1,0,2
recieved,2,2,0,4
entirety,2,2,0,4
downward,1,1,0,2
sixteen,1,1,0,2
etter,1,1,0,2
afforded,1,1,0,2
drafting,1,1,0,2
foot,3,3,0,6
lag,3,3,0,6
cruise,3,3,0,6
concentration,1,1,0,2
commenced,1,1,0,2
solicit,3,3,0,6
ought,2,2,0,4
bankruptcies,1,1,0,2
expedited,1,1,0,2
digging,1,1,0,2
encode,1,1,0,2
associating,1,1,0,2
oswego,1,1,0,2
stephens,1,1,0,2
kentucky,2,2,0,4
lincoln,1,1,0,2
masses,1,1,0,2
milestone,1,1,0,2
meteor,1,1,0,2
ordinary,1,1,0,2
decrease,1,1,0,2
maryland,2,2,0,4
looming,1,1,0,2
accused,1,1,0,2
afterthought,2,2,0,4
rectangular,1,1,0,2
downsizing,1,1,0,2
doctors,1,1,0,2
passport,4,4,0,8
untrue,1,1,0,2
fuer,1,1,0,2
minimums,1,1,0,2
relay,2,2,0,4
bridges,1,1,0,2
walks,1,1,0,2
influential,1,1,0,2
mayo,1,1,0,2
insider,1,1,0,2
methanol,1,1,0,2
explored,1,1,0,2
atchison,1,1,0,2
fort,2,2,0,4
blend,3,3,0,6
declared,2,2,0,4
rand,1,1,0,2
constantine,1,1,0,2
paycheck,1,1,0,2
fuller,2,2,0,4
governments,6,6,0,12
gavin,1,1,0,2
accreditation,1,1,0,2
nic,3,3,0,6
trick,1,1,0,2
mta,3,3,0,6
artist,2,2,0,4
friction,1,1,0,2
greedy,1,1,0,2
sherman,1,1,0,2
kindness,1,1,0,2
biotechnology,1,1,0,2
rhode,1,1,0,2
rated,5,5,0,10
furniture,1,1,0,2
revolution,3,3,0,6
pharma,2,2,0,4
citizenship,1,1,0,2
weapon,1,1,0,2
indexes,1,1,0,2
downloading,1,1,0,2
reprisal,1,1,0,2
onward,1,1,0,2
criminal,1,1,0,2
tape,1,1,0,2
snap,1,1,0,2
leather,1,1,0,2
embarrassment,1,1,0,2
inch,1,1,0,2
cont,1,1,0,2
baseball,1,1,0,2
cpa,3,3,0,6
circles,1,1,0,2
tracing,1,1,0,2
indications,1,1,0,2
startup,1,1,0,2
complications,1,1,0,2
drug,3,3,0,6
donovan,1,1,0,2
frames,1,1,0,2
displace,1,1,0,2
augusta,1,1,0,2
rare,2,2,0,4
tot,1,1,0,2
chin,1,1,0,2
bellsouth,1,1,0,2
cdrom,1,1,0,2
boeing,1,1,0,2
inherited,2,2,0,4
qualcomm,1,1,0,2
threshold,1,1,0,2
tse,1,1,0,2
urging,1,1,0,2
receivable,1,1,0,2
design,39,39,0,78
haunts,1,1,0,2
literally,2,2,0,4
generates,1,1,0,2
ein,1,1,0,2
deteriorated,2,2,0,4
inflexible,1,1,0,2
iraqi,1,1,0,2
hans,1,1,0,2
sybase,1,1,0,2
billions,2,2,0,4
caltech,1,1,0,2
constructive,1,1,0,2
legato,1,1,0,2
autrey,1,1,0,2
auctioneer,1,1,0,2
teeth,1,1,0,2
governmental,2,2,0,4
cried,1,1,0,2
interference,1,1,0,2
derive,1,1,0,2
theirs,2,2,0,4
pregnant,1,1,0,2
livestock,1,1,0,2
enforcement,2,2,0,4
inflated,1,1,0,2
pitt,1,1,0,2
randomly,1,1,0,2
swings,1,1,0,2
compete,5,5,0,10
freely,2,2,0,4
dream,5,5,0,10
oppose,2,2,0,4
dublin,1,1,0,2
arose,1,1,0,2
upward,3,3,0,6
montgomery,1,1,0,2
threat,3,3,0,6
que,2,2,0,4
father,7,7,0,14
dental,2,2,0,4
believing,1,1,0,2
doris,1,1,0,2
hurry,2,2,0,4
beatrice,1,1,0,2
hereto,1,1,0,2
coalition,1,1,0,2
humble,1,1,0,2
nan,1,1,0,2
transferable,1,1,0,2
capsule,1,1,0,2
winner,5,5,0,10
scary,1,1,0,2
releasing,1,1,0,2
apple,2,2,0,4
intensity,1,1,0,2
harper,1,1,0,2
spike,1,1,0,2
foundations,1,1,0,2
prince,1,1,0,2
adviser,1,1,0,2
traction,1,1,0,2
precious,1,1,0,2
cincinnati,1,1,0,2
spelled,1,1,0,2
buyer,3,3,0,6
ministry,7,7,0,14
climb,1,1,0,2
checker,1,1,0,2
party,33,33,0,66
luxury,2,2,0,4
poorer,1,1,0,2
graphic,2,2,0,4
kept,7,7,0,14
attorney,6,6,0,12
banque,1,1,0,2
nationally,1,1,0,2
sur,1,1,0,2
richest,1,1,0,2
feared,1,1,0,2
sole,3,3,0,6
webpages,1,1,0,2
robertson,1,1,0,2
beauty,2,2,0,4
object,3,3,0,6
legally,6,6,0,12
debra,1,1,0,2
aviation,1,1,0,2
clash,1,1,0,2
ats,1,1,0,2
midnight,1,1,0,2
recieve,1,1,0,2
chloride,1,1,0,2
determines,2,2,0,4
gifts,1,1,0,2
fighting,1,1,0,2
mollie,1,1,0,2
dancing,1,1,0,2
diversion,2,2,0,4
words,20,20,0,40
stricken,1,1,0,2
mistakes,3,3,0,6
judicial,1,1,0,2
handy,2,2,0,4
harrison,1,1,0,2
oder,1,1,0,2
drawn,6,6,0,12
memories,1,1,0,2
mega,1,1,0,2
faq,1,1,0,2
honestly,1,1,0,2
unicom,1,1,0,2
publicity,1,1,0,2
revealed,2,2,0,4
accordance,3,3,0,6
assuring,1,1,0,2
downloads,2,2,0,4
vector,1,1,0,2
ceos,1,1,0,2
removes,2,2,0,4
mom,1,1,0,2
troubles,1,1,0,2
compliment,1,1,0,2
throw,1,1,0,2
doesnt,1,1,0,2
winters,1,1,0,2
warrant,2,2,0,4
wouldn,5,5,0,10
panic,1,1,0,2
responsive,1,1,0,2
wagner,1,1,0,2
killing,1,1,0,2
dies,1,1,0,2
nephew,1,1,0,2
esteem,1,1,0,2
violations,1,1,0,2
barr,1,1,0,2
nsurance,1,1,0,2
unlike,4,4,0,8
vacations,1,1,0,2
pressed,1,1,0,2
intervals,1,2,-1,3
decades,3,4,-1,7
southeast,2,3,-1,5
turmoil,1,2,-1,3
firmly,1,2,-1,3
buffalo,1,2,-1,3
occasion,1,2,-1,3
profiling,2,3,-1,5
adjunct,1,2,-1,3
recover,2,3,-1,5
unbiased,1,2,-1,3
ipo,1,2,-1,3
pride,3,4,-1,7
laser,2,3,-1,5
int,1,2,-1,3
successes,1,2,-1,3
rivals,2,3,-1,5
examined,2,3,-1,5
pratt,1,2,-1,3
circle,1,2,-1,3
treating,1,2,-1,3
sealed,2,3,-1,5
spouse,2,3,-1,5
strength,6,7,-1,13
presume,1,2,-1,3
finger,1,2,-1,3
neutralize,1,2,-1,3
sandy,2,3,-1,5
kit,1,2,-1,3
normal,24,25,-1,49
transfered,1,2,-1,3
exp,1,2,-1,3
talents,2,3,-1,5
hal,1,2,-1,3
everywhere,1,2,-1,3
surprise,4,5,-1,9
technicians,1,2,-1,3
ministries,1,2,-1,3
loosing,1,2,-1,3
feeds,1,2,-1,3
carlson,1,2,-1,3
nasdaq,2,3,-1,5
marriage,2,3,-1,5
fashion,1,2,-1,3
fischer,1,2,-1,3
fortunate,2,3,-1,5
judges,1,2,-1,3
learnt,1,2,-1,3
emerged,3,4,-1,7
initiated,4,5,-1,9
rigs,1,2,-1,3
morris,2,3,-1,5
casualty,1,2,-1,3
commercially,1,2,-1,3
hong,5,6,-1,11
restaurants,1,2,-1,3
animations,1,2,-1,3
digit,1,2,-1,3
lies,1,2,-1,3
preferences,2,3,-1,5
lacks,1,2,-1,3
ceiling,1,2,-1,3
island,4,5,-1,9
conferred,1,2,-1,3
stops,1,2,-1,3
comm,2,3,-1,5
dimension,1,2,-1,3
weakness,1,2,-1,3
gateway,1,2,-1,3
sung,1,2,-1,3
elite,1,2,-1,3
greatest,5,6,-1,11
ronald,2,3,-1,5
tidy,1,2,-1,3
bookings,2,3,-1,5
honest,5,6,-1,11
temps,1,2,-1,3
evaluates,1,2,-1,3
folders,3,4,-1,7
tag,2,3,-1,5
ups,4,5,-1,9
soo,1,2,-1,3
bonner,1,2,-1,3
lock,3,4,-1,7
reductions,1,2,-1,3
developers,6,7,-1,13
generate,12,13,-1,25
aid,4,5,-1,9
wolf,2,3,-1,5
mts,1,2,-1,3
mandated,1,2,-1,3
drill,1,2,-1,3
mississippi,1,2,-1,3
collected,5,6,-1,11
reputation,2,3,-1,5
heroes,1,2,-1,3
transcripts,2,3,-1,5
shotgun,1,2,-1,3
exhausted,1,2,-1,3
charitable,1,2,-1,3
farther,1,2,-1,3
founder,2,3,-1,5
mixture,1,2,-1,3
slam,1,2,-1,3
mcgraw,1,2,-1,3
landing,1,2,-1,3
corrupt,1,2,-1,3
replied,3,4,-1,7
lap,2,3,-1,5
hell,1,2,-1,3
savings,6,7,-1,13
dangers,1,2,-1,3
enters,1,2,-1,3
revise,2,3,-1,5
complained,1,2,-1,3
classic,4,5,-1,9
elaine,1,2,-1,3
lights,1,2,-1,3
juniper,1,2,-1,3
thing,36,37,-1,73
doctorate,1,2,-1,3
face,10,11,-1,21
teacher,1,2,-1,3
mentors,1,2,-1,3
monitored,1,2,-1,3
oasis,1,2,-1,3
ing,2,3,-1,5
lucrative,2,3,-1,5
damages,1,2,-1,3
argent,1,2,-1,3
massachusetts,2,3,-1,5
exceed,2,3,-1,5
moines,2,3,-1,5
maui,1,2,-1,3
smtp,16,17,-1,33
healthcare,2,3,-1,5
promises,1,2,-1,3
practically,1,2,-1,3
patient,2,3,-1,5
satisfies,1,2,-1,3
discontinue,2,3,-1,5
considerably,1,2,-1,3
deeply,2,3,-1,5
urgently,2,3,-1,5
packing,1,2,-1,3
consequence,1,2,-1,3
caught,3,4,-1,7
amc,1,2,-1,3
mortgages,1,2,-1,3
awaited,1,2,-1,3
instructed,3,4,-1,7
stages,3,4,-1,7
combines,2,3,-1,5
prospectus,1,2,-1,3
tenure,2,3,-1,5
workspace,2,3,-1,5
streamline,1,2,-1,3
justice,2,3,-1,5
consultancy,1,2,-1,3
saying,7,8,-1,15
newest,1,2,-1,3
varies,1,2,-1,3
whitney,1,2,-1,3
fulfill,1,2,-1,3
vita,2,3,-1,5
afa,1,2,-1,3
tube,1,2,-1,3
dramatic,2,3,-1,5
targets,4,5,-1,9
legislation,5,6,-1,11
merchandise,1,2,-1,3
credentials,1,2,-1,3
families,1,2,-1,3
lengthy,1,2,-1,3
minority,3,4,-1,7
effectuate,1,2,-1,3
expenditures,1,2,-1,3
gay,1,2,-1,3
dining,2,3,-1,5
petty,1,2,-1,3
multitude,1,2,-1,3
radar,2,3,-1,5
prizes,1,2,-1,3
graduation,1,2,-1,3
costless,2,3,-1,5
dash,1,2,-1,3
removing,1,2,-1,3
sponsored,20,21,-1,41
horizons,1,2,-1,3
regarded,1,2,-1,3
weren,2,3,-1,5
anybody,9,10,-1,19
loose,4,5,-1,9
consisting,1,2,-1,3
protected,3,4,-1,7
roof,2,3,-1,5
chambers,1,2,-1,3
manuscript,1,2,-1,3
ssn,1,2,-1,3
cargo,1,2,-1,3
screens,3,4,-1,7
undue,1,2,-1,3
joy,1,2,-1,3
refreshing,1,2,-1,3
absorb,1,2,-1,3
transforming,1,2,-1,3
shareholders,6,7,-1,13
replicate,1,2,-1,3
italy,3,4,-1,7
wasn,11,12,-1,23
liabilities,1,2,-1,3
wanting,4,5,-1,9
polls,1,2,-1,3
hospitals,1,2,-1,3
designate,1,2,-1,3
bracket,1,2,-1,3
shock,1,2,-1,3
coded,1,2,-1,3
integrating,1,2,-1,3
surveys,1,2,-1,3
continuously,1,2,-1,3
dependable,1,2,-1,3
nation,2,3,-1,5
karl,1,2,-1,3
overloaded,1,2,-1,3
molecular,1,2,-1,3
accelerated,2,3,-1,5
telecom,4,5,-1,9
precisely,1,2,-1,3
gender,1,2,-1,3
offended,1,2,-1,3
achieve,14,15,-1,29
citizens,2,3,-1,5
coat,1,2,-1,3
suicide,1,2,-1,3
election,2,3,-1,5
purely,1,2,-1,3
picking,3,4,-1,7
ignored,2,3,-1,5
bind,1,2,-1,3
eliminated,2,3,-1,5
witnessed,1,2,-1,3
coverages,1,2,-1,3
guarantees,6,7,-1,13
unavoidable,1,2,-1,3
russia,1,2,-1,3
constitute,4,5,-1,9
colombia,1,2,-1,3
impossible,8,9,-1,17
annoyance,1,2,-1,3
computers,4,5,-1,9
kellogg,1,2,-1,3
manuel,1,2,-1,3
reject,1,2,-1,3
exisiting,1,2,-1,3
irm,2,3,-1,5
lets,5,6,-1,11
lodge,1,2,-1,3
certainty,1,2,-1,3
vast,4,5,-1,9
manual,9,10,-1,19
branding,1,2,-1,3
membership,13,14,-1,27
yale,1,2,-1,3
nations,1,2,-1,3
mer,1,2,-1,3
pentium,1,2,-1,3
overcome,1,2,-1,3
encounter,1,2,-1,3
locally,2,3,-1,5
shake,1,2,-1,3
proximity,1,2,-1,3
certificate,1,2,-1,3
retailer,1,2,-1,3
lit,1,2,-1,3
grabbing,1,2,-1,3
intel,1,2,-1,3
iceberg,1,2,-1,3
joshua,1,2,-1,3
determination,1,2,-1,3
device,1,2,-1,3
cat,1,2,-1,3
criticized,1,2,-1,3
operates,4,5,-1,9
panasonic,1,2,-1,3
visitor,1,2,-1,3
retained,2,3,-1,5
sha,1,2,-1,3
kick,1,2,-1,3
lifting,1,2,-1,3
lessen,1,2,-1,3
sanchez,1,2,-1,3
shopping,6,7,-1,13
filtering,1,2,-1,3
tea,1,2,-1,3
prudent,1,2,-1,3
enables,4,5,-1,9
fruitful,1,2,-1,3
clicking,9,10,-1,19
mcdonnell,1,2,-1,3
entrepreneurs,2,3,-1,5
numerous,11,12,-1,23
estimates,15,16,-1,31
jorge,1,2,-1,3
kennedy,1,2,-1,3
markers,1,2,-1,3
begging,1,2,-1,3
turner,1,2,-1,3
berlin,1,2,-1,3
fishing,1,2,-1,3
demonstrate,4,5,-1,9
privilege,1,2,-1,3
withdrawal,1,2,-1,3
quantum,1,2,-1,3
injection,1,2,-1,3
sierra,2,3,-1,5
stones,1,2,-1,3
subscribing,1,2,-1,3
realplayer,1,2,-1,3
wipe,1,2,-1,3
cartridges,2,3,-1,5
ocean,1,2,-1,3
fist,1,2,-1,3
ethical,1,2,-1,3
dozens,1,2,-1,3
millenium,1,2,-1,3
supervising,2,3,-1,5
achievements,1,2,-1,3
loving,1,2,-1,3
lasting,1,2,-1,3
mentioning,1,2,-1,3
sister,2,3,-1,5
paige,1,2,-1,3
psychology,1,2,-1,3
kathleen,1,2,-1,3
configuration,1,2,-1,3
definately,3,4,-1,7
scanned,2,3,-1,5
controlling,1,2,-1,3
warrants,2,3,-1,5
counts,1,2,-1,3
disregard,3,4,-1,7
swiss,1,2,-1,3
moreover,2,3,-1,5
xml,2,3,-1,5
xerox,1,2,-1,3
economies,1,2,-1,3
couch,1,2,-1,3
exclusion,1,2,-1,3
modification,1,2,-1,3
populated,1,2,-1,3
theft,3,4,-1,7
worry,7,8,-1,15
interconnect,1,2,-1,3
adequately,1,2,-1,3
owes,1,2,-1,3
minimize,2,3,-1,5
lawful,1,2,-1,3
drastic,1,2,-1,3
waive,1,2,-1,3
lender,2,3,-1,5
bird,1,2,-1,3
authorities,2,3,-1,5
biggest,14,15,-1,29
gathering,2,3,-1,5
relied,1,2,-1,3
lien,1,2,-1,3
condition,4,5,-1,9
wallet,1,2,-1,3
owed,1,2,-1,3
asp,1,2,-1,3
assembled,1,2,-1,3
endorsement,1,2,-1,3
dubai,2,3,-1,5
aud,1,2,-1,3
teammates,1,2,-1,3
captain,1,2,-1,3
sympathetic,1,2,-1,3
incurred,4,5,-1,9
threatens,1,2,-1,3
commissioned,2,3,-1,5
expiry,1,2,-1,3
garner,1,2,-1,3
subscribed,3,4,-1,7
jordan,1,2,-1,3
automotive,1,2,-1,3
knock,1,2,-1,3
demanding,1,2,-1,3
content,33,34,-1,67
consolidation,5,6,-1,11
analogy,1,2,-1,3
restricted,5,6,-1,11
guided,1,2,-1,3
dow,4,5,-1,9
ordered,16,17,-1,33
auditing,1,2,-1,3
frances,1,2,-1,3
frustrated,2,3,-1,5
sends,1,2,-1,3
reinforce,1,2,-1,3
oldest,1,2,-1,3
toshiba,1,2,-1,3
faster,10,11,-1,21
situations,1,2,-1,3
site,112,113,-1,225
seriousness,2,3,-1,5
walls,1,2,-1,3
war,3,4,-1,7
charity,2,3,-1,5
cote,2,3,-1,5
borders,1,2,-1,3
ranks,1,2,-1,3
submissions,1,2,-1,3
broaden,1,2,-1,3
ultimate,2,3,-1,5
soliciting,2,3,-1,5
shirt,1,2,-1,3
borrow,3,4,-1,7
plc,3,4,-1,7
drawer,1,2,-1,3
hiding,1,2,-1,3
sectors,10,11,-1,21
judgments,1,2,-1,3
toner,2,3,-1,5
ack,1,2,-1,3
land,7,8,-1,15
burning,4,5,-1,9
proposition,3,4,-1,7
opposition,1,2,-1,3
violation,2,3,-1,5
liberty,2,3,-1,5
unfair,1,2,-1,3
ich,1,2,-1,3
endure,1,2,-1,3
insert,2,3,-1,5
seattle,2,3,-1,5
annually,4,5,-1,9
oops,1,2,-1,3
synthetic,1,2,-1,3
cabinets,1,2,-1,3
voluntary,1,2,-1,3
roland,1,2,-1,3
combat,1,2,-1,3
deepest,1,2,-1,3
establishment,2,3,-1,5
refinery,1,2,-1,3
inadvertently,1,2,-1,3
intraday,1,2,-1,3
appropriately,1,2,-1,3
unfold,1,2,-1,3
nas,1,2,-1,3
robinson,1,2,-1,3
brain,2,3,-1,5
vicki,1,2,-1,3
embark,1,2,-1,3
sys,1,2,-1,3
routinely,1,2,-1,3
delays,2,3,-1,5
friendly,3,4,-1,7
mounted,1,2,-1,3
attain,1,3,-2,4
ensures,1,3,-2,4
candid,1,3,-2,4
feelings,1,3,-2,4
royal,1,3,-2,4
picks,3,5,-2,8
dont,3,5,-2,8
boundary,1,3,-2,4
remote,9,11,-2,20
incumbent,1,3,-2,4
harvesting,1,3,-2,4
vital,2,4,-2,6
aim,11,13,-2,24
prepares,1,3,-2,4
rewarding,1,3,-2,4
prevailing,1,3,-2,4
dispute,2,4,-2,6
budgets,1,3,-2,4
nicole,1,3,-2,4
definitive,2,4,-2,6
llc,8,10,-2,18
taught,3,5,-2,8
demos,1,3,-2,4
motivation,1,3,-2,4
mentoring,2,4,-2,6
improvements,1,3,-2,4
habit,1,3,-2,4
ratios,2,4,-2,6
eel,1,3,-2,4
noise,1,3,-2,4
transparent,1,3,-2,4
quiet,1,3,-2,4
minds,3,5,-2,8
lovely,1,3,-2,4
publishes,1,3,-2,4
label,1,3,-2,4
equivalents,1,3,-2,4
prospect,1,3,-2,4
strongest,3,5,-2,8
mover,1,3,-2,4
enjoying,1,3,-2,4
behaved,1,3,-2,4
handled,4,6,-2,10
supervisors,1,3,-2,4
elementary,1,3,-2,4
warren,1,3,-2,4
limitations,3,5,-2,8
young,11,13,-2,24
falling,3,5,-2,8
farmer,1,3,-2,4
designated,9,11,-2,20
boards,3,5,-2,8
convince,1,3,-2,4
likes,2,4,-2,6
lat,1,3,-2,4
joan,1,3,-2,4
pulling,1,3,-2,4
chunk,1,3,-2,4
staley,1,3,-2,4
settlements,1,3,-2,4
utilization,2,4,-2,6
medium,4,6,-2,10
supervision,4,6,-2,10
reset,1,3,-2,4
rue,1,3,-2,4
doors,1,3,-2,4
doubt,5,7,-2,12
serious,14,16,-2,30
eight,8,10,-2,18
telling,3,5,-2,8
meteorology,1,3,-2,4
donald,1,3,-2,4
pure,3,5,-2,8
eye,2,4,-2,6
instead,26,28,-2,54
strange,1,3,-2,4
barrel,1,3,-2,4
yrs,1,3,-2,4
discontinued,1,3,-2,4
homepage,3,5,-2,8
rolled,2,4,-2,6
prime,1,3,-2,4
merrill,4,6,-2,10
indiana,2,4,-2,6
excessive,1,3,-2,4
family,32,34,-2,66
frequently,1,3,-2,4
printed,6,8,-2,14
shore,1,3,-2,4
positioning,2,4,-2,6
windsor,1,3,-2,4
ventures,6,8,-2,14
forecasted,1,3,-2,4
converting,1,3,-2,4
loaner,1,3,-2,4
bcf,3,5,-2,8
privileges,2,4,-2,6
frozen,1,3,-2,4
utilizing,4,6,-2,10
sunny,1,3,-2,4
compression,1,3,-2,4
amsterdam,1,3,-2,4
bucket,1,3,-2,4
rodriguez,1,3,-2,4
spin,1,3,-2,4
favour,3,5,-2,8
strips,1,3,-2,4
tremendous,5,7,-2,12
pound,1,3,-2,4
assure,3,5,-2,8
firstly,2,4,-2,6
appointments,1,3,-2,4
automated,9,11,-2,20
delegated,2,4,-2,6
benzene,1,3,-2,4
supplier,3,5,-2,8
coincide,1,3,-2,4
beat,3,5,-2,8
chemicals,1,3,-2,4
quest,1,3,-2,4
cautioned,1,3,-2,4
albeit,1,3,-2,4
workflow,1,3,-2,4
distinguish,1,3,-2,4
gamble,2,4,-2,6
overnight,3,5,-2,8
politically,1,3,-2,4
credibility,2,4,-2,6
min,2,4,-2,6
entrance,1,3,-2,4
catherine,1,3,-2,4
opposite,1,3,-2,4
asses,1,3,-2,4
paying,8,10,-2,18
clarity,1,3,-2,4
lighting,1,3,-2,4
seventh,1,3,-2,4
tons,2,4,-2,6
termed,1,3,-2,4
none,13,15,-2,28
improves,1,3,-2,4
displays,1,3,-2,4
sincerity,1,3,-2,4
disk,5,7,-2,12
perfectly,2,4,-2,6
intend,11,13,-2,24
sic,1,3,-2,4
subsequent,2,4,-2,6
inadequate,1,3,-2,4
principles,2,4,-2,6
ranges,2,4,-2,6
mil,1,3,-2,4
element,1,3,-2,4
suffered,1,3,-2,4
receivables,1,3,-2,4
sourcing,1,3,-2,4
square,2,4,-2,6
installment,1,3,-2,4
decade,2,4,-2,6
logged,1,3,-2,4
kbps,1,3,-2,4
campaign,5,7,-2,12
doubts,1,3,-2,4
upgraded,1,3,-2,4
garage,1,3,-2,4
damage,3,5,-2,8
nominated,1,3,-2,4
pet,1,3,-2,4
flyer,1,3,-2,4
knowing,5,7,-2,12
freeman,1,3,-2,4
cable,1,3,-2,4
retired,1,3,-2,4
contrary,1,3,-2,4
leveraging,1,3,-2,4
clearance,2,4,-2,6
quantities,1,3,-2,4
holder,1,3,-2,4
worker,1,3,-2,4
economically,1,3,-2,4
bet,3,5,-2,8
supporters,1,3,-2,4
leaves,2,4,-2,6
hills,2,4,-2,6
mass,3,5,-2,8
elect,1,3,-2,4
bankrupt,3,5,-2,8
apologise,2,4,-2,6
establishes,1,3,-2,4
concluded,2,4,-2,6
pounds,3,5,-2,8
projection,3,5,-2,8
improvement,18,20,-2,38
minimal,4,6,-2,10
disc,2,4,-2,6
reduction,4,6,-2,10
arising,2,4,-2,6
disseminate,1,3,-2,4
relaxed,2,4,-2,6
errors,6,8,-2,14
concrete,1,3,-2,4
cds,6,8,-2,14
thorough,4,6,-2,10
empty,2,4,-2,6
mis,1,3,-2,4
cobb,1,3,-2,4
angel,1,3,-2,4
spots,1,3,-2,4
controlled,1,3,-2,4
tip,2,4,-2,6
tested,6,8,-2,14
cream,1,3,-2,4
breakout,1,3,-2,4
intelligence,4,6,-2,10
historically,2,4,-2,6
victoria,2,4,-2,6
subscriptions,2,4,-2,6
locked,1,3,-2,4
receives,3,5,-2,8
remembering,1,3,-2,4
intentions,1,3,-2,4
imbroglio,1,3,-2,4
laid,1,3,-2,4
freeze,1,3,-2,4
blocks,1,3,-2,4
critics,1,3,-2,4
rourke,1,3,-2,4
criterion,1,3,-2,4
statistically,1,3,-2,4
lately,1,3,-2,4
sea,5,7,-2,12
diary,1,3,-2,4
monica,2,4,-2,6
meant,6,8,-2,14
inside,5,7,-2,12
counting,3,5,-2,8
cycle,3,5,-2,8
regulations,2,4,-2,6
headquarters,1,3,-2,4
ohio,1,3,-2,4
blair,1,3,-2,4
carla,1,3,-2,4
conclude,1,3,-2,4
surprisingly,3,5,-2,8
pocket,1,3,-2,4
ratio,4,6,-2,10
lbs,3,5,-2,8
anyhow,1,3,-2,4
chew,1,3,-2,4
necessity,1,3,-2,4
deliberately,1,3,-2,4
viruses,4,6,-2,10
keeps,3,5,-2,8
enabling,1,3,-2,4
strikes,1,3,-2,4
responsiveness,1,3,-2,4
mercedes,1,3,-2,4
administrator,5,7,-2,12
creator,1,3,-2,4
accelerating,1,3,-2,4
particulars,1,3,-2,4
cast,1,3,-2,4
mailman,1,3,-2,4
luckily,1,3,-2,4
defense,1,3,-2,4
dod,1,3,-2,4
resent,1,3,-2,4
settle,1,3,-2,4
conf,3,5,-2,8
feature,7,9,-2,16
mesa,1,3,-2,4
tune,1,3,-2,4
blind,1,3,-2,4
deducted,1,3,-2,4
permitted,1,3,-2,4
ride,2,4,-2,6
dedication,1,3,-2,4
voted,2,4,-2,6
presenters,1,3,-2,4
router,1,3,-2,4
consolidate,3,5,-2,8
territory,2,4,-2,6
coaching,1,3,-2,4
premium,13,15,-2,28
snow,1,3,-2,4
upgrades,3,5,-2,8
nationwide,2,4,-2,6
illness,1,3,-2,4
precision,1,3,-2,4
tracks,1,3,-2,4
reduces,1,3,-2,4
